time,step-size,{uavCont}.controller.pitchOut,{uavCont}.controller.rollOut,{uavCont}.controller.throttleOut,{uavCont}.controller.yawOut,{uav}.uav.batteryCharge,{uav}.uav.currentYaw,{uav}.uav.posX,{uav}.uav.posY,{uav}.uav.posZ,{uav}.uav.velX,{uav}.uav.velY,{uav}.uav.velZ
0,0,0,0,0,0,6480,0,231.6667,180,-443.167,-3.65,0,2.6334
0.1,0.1,0,0,0.37,0,6480,0,231.3017,180,-442.90366,-3.65,0,2.6334
0.2,0.1,0,0,0.51,0,6479.230778,0,230.9367,180,-442.64032,-3.65,0,2.6334
0.3,0.1,0,0,0.51,0,6477.975723,0,230.5717,180,-442.37698,-3.65,0,2.6334
0.4,0.1,0,0,0.51,0,6476.797682,0,230.2067,180,-442.11364,-3.65,0,2.6334
0.5,0.1,0,0,0.51,0,6475.585244,0,229.8417,180,-441.8503,-3.65,0,2.6334
0.6,0.1,0,0,0.51,0,6474.313634,0,229.4767,180,-441.58696,-3.65,0,2.6334
0.7,0.1,0,0,0.51,0,6473.016985,0,229.1117,180,-441.32362,-3.65,0,2.6334
0.8,0.1,0,0,0.51,0,6471.825724,0,228.7467,180,-441.06028,-3.65,0,2.6334
0.9,0.1,0,0,0.51,0,6470.622516,0,228.3817,180,-440.79694,-3.65,0,2.6334
1,0.1,0,0,0.51,0,6469.354728,0,228.0167,180,-440.5336,-3.65,0,2.6334
1.1,0.1,0,0,0.51,0,6468.059728,0,227.6517,180,-440.27026,-3.65,0,2.6334
1.2,0.1,0,0,0.51,0,6466.752871,0,227.2867,180,-440.00692,-3.65,0,2.6334
1.3,0.1,0,0,0.51,0,6465.558012,0,226.9217,180,-439.74358,-3.65,0,2.6334
1.4,0.1,0,0,0.51,0,6464.357182,0,226.5567,180,-439.48024,-3.65,0,2.6334
1.5,0.1,0,0,0.51,0,6463.090374,0,226.1917,180,-439.2169,-3.65,0,2.6334
1.6,0.1,0,0,0.51,0,6461.795797,0,225.8267,180,-438.95356,-3.65,0,2.6334
1.7,0.1,0,0,0.51,0,6460.489126,0,225.4617,180,-438.69022,-3.65,0,2.6334
1.8,0.1,0,0,0.51,0,6459.294332,0,225.0967,180,-438.42688,-3.65,0,2.6334
1.9,0.1,0,0,0.51,0,6458.093459,0,224.7317,180,-438.16354,-3.65,0,2.6334
2,0.1,0,0,0.51,0,6456.826633,0,224.3667,180,-437.9002,-3.65,0,2.6334
2.1,0.1,0,0,0.51,0,6455.401768,0,224.0017,180,-437.63686,-3.65,0,2.6334
2.2,0.1,0,0,0.51,0,6454.094343,0,223.6367,180,-437.37352,-3.65,0,2.6334
2.3,0.1,0,0,0.51,0,6452.899283,0,223.2717,180,-437.11018,-3.65,0,2.6334
2.4,0.1,0,0,0.51,0,6451.698587,0,222.9067,180,-436.84684,-3.65,0,2.6334
2.5,0.1,0,0,0.51,0,6450.431834,0,222.5417,180,-436.5835,-3.65,0,2.6334
2.6,0.1,0,0,0.51,0,6449.13728,0,222.1767,180,-436.32016,-3.65,0,2.6334
2.7,0.1,0,0,0.51,0,6447.83062,0,221.8117,180,-436.05682,-3.65,0,2.6334
2.8,0.1,0,0,0.51,0,6446.518597,0,221.4467,180,-435.79348,-3.65,0,2.6334
2.9,0.1,0,0,0.51,0,6445.321842,0,221.0817,180,-435.53014,-3.65,0,2.6334
3,0.1,0,0,0.51,0,6444.122234,0,220.7167,180,-435.2668,-3.65,0,2.6334
3.1,0.1,0,0,0.51,0,6442.85593,0,220.3517,180,-435.00346,-3.65,0,2.6334
3.2,0.1,0,0,0.51,0,6441.561569,0,219.9867,180,-434.74012,-3.65,0,2.6334
3.3,0.1,0,0,0.51,0,6440.254994,0,219.6217,180,-434.47678,-3.65,0,2.6334
3.4,0.1,0,0,0.51,0,6438.943009,0,219.2567,180,-434.21344,-3.65,0,2.6334
3.5,0.1,0,0,0.51,0,6437.746271,0,218.8917,180,-433.9501,-3.65,0,2.6334
3.6,0.1,0,0,0.51,0,6436.546654,0,218.5267,180,-433.68676,-3.65,0,2.6334
3.7,0.1,0,0,0.51,0,6435.280346,0,218.1617,180,-433.42342,-3.65,0,2.6334
3.8,0.1,0,0,0.51,0,6433.985984,0,217.7967,180,-433.16008,-3.65,0,2.6334
3.9,0.1,0,0,0.51,0,6432.679408,0,217.4317,180,-432.89674,-3.65,0,2.6334
4,0.1,0,0,0.51,0,6431.367422,0,217.0667,180,-432.6334,-3.65,0,2.6334
4.1,0.1,0,0,0.51,0,6430.170684,0,216.7017,180,-432.37006,-3.65,0,2.6334
4.2,0.1,0,0,0.51,0,6428.971067,0,216.3367,180,-432.10672,-3.65,0,2.6334
4.3,0.1,0,0,0.37,0,6427.70476,0,215.9717,180,-431.84338,-3.65,0,2.6334
4.4,0.1,0,0,0.37,0,6426.765712,0,215.6067,180,-431.58004,-3.65,0,2.6334
4.5,0.1,0,0,0.37,0,6425.817804,0,215.2417,180,-431.3167,-3.65,0,2.6334
4.6,0.1,0,0,0.37,0,6424.869798,0,214.8767,180,-431.05336,-3.65,0,2.6334
4.7,0.1,0,0,0.37,0,6423.83088,0,214.5117,180,-430.79002,-3.65,0,2.6334
4.8,0.1,0,0,0.37,0,6422.715356,0,214.1467,180,-430.52668,-3.65,0,2.6334
4.9,0.1,0,0,0.37,0,6421.569166,0,213.7817,180,-430.26334,-3.65,0,2.6334
5,0.1,0,0,0.37,0,6420.409997,0,213.4167,180,-430,-3.65,0,2.6334
5.1,0.1,0,0,0.37,0,6419.24516,0,213.0517,180,-429.73666,-3.65,0,2.6334
5.2,0.1,0,0,0.37,0,6418.077808,0,212.6867,180,-429.47332,-3.65,0,2.6334
5.3,0.1,0,0,0.37,0,6416.909332,0,212.3217,180,-429.20998,-3.65,0,2.6334
5.4,0.1,0,0,0.37,0,6415.740352,0,211.9567,180,-428.94664,-3.65,0,2.6334
5.5,0.1,0,0,0.37,0,6414.571146,0,211.5917,180,-428.6833,-3.65,0,2.6334
5.6,0.1,0,0,0.37,0,6413.401838,0,211.2267,180,-428.41996,-3.65,0,2.6334
5.7,0.1,0,0,0.37,0,6412.232484,0,210.8617,180,-428.15662,-3.65,0,2.6334
5.8,0.1,0,0,0.37,0,6411.063109,0,210.4967,180,-427.89328,-3.65,0,2.6334
5.9,0.1,0,0,0.37,0,6409.893726,0,210.1317,180,-427.62994,-3.65,0,2.6334
6,0.1,0,0,0.37,0,6408.724338,0,209.7667,180,-427.3666,-3.65,0,2.6334
6.1,0.1,0,0,0.37,0,6407.554948,0,209.4017,180,-427.10326,-3.65,0,2.6334
6.2,0.1,0,0,0.37,0,6406.385557,0,209.0367,180,-426.83992,-3.65,0,2.6334
6.3,0.1,0,0,0.37,0,6405.216166,0,208.6717,180,-426.57658,-3.65,0,2.6334
6.4,0.1,0,0,0.37,0,6404.046775,0,208.3067,180,-426.31324,-3.65,0,2.6334
6.5,0.1,0,0,0.37,0,6402.877384,0,207.9417,180,-426.0499,-3.65,0,2.6334
6.6,0.1,0,0,0.37,0,6401.707992,0,207.5767,180,-425.78656,-3.65,0,2.6334
6.7,0.1,0,0,0.37,0,6400.549414,0,207.2117,180,-425.52322,-3.65,0,2.6334
6.8,0.1,0,0,0.37,0,6399.433665,0,206.8467,180,-425.25988,-3.65,0,2.6334
6.9,0.1,0,0,0.37,0,6398.401834,0,206.4817,180,-424.99654,-3.65,0,2.6334
7,0.1,0,0,0.37,0,6397.403737,0,206.1167,180,-424.7332,-3.65,0,2.6334
7.1,0.1,0,0,0.37,0,6396.31704,0,205.7517,180,-424.46986,-3.65,0,2.6334
7.2,0.1,0,0,0.37,0,6395.180936,0,205.3867,180,-424.20652,-3.65,0,2.6334
7.3,0.1,0,0,0.37,0,6394.025737,0,205.0217,180,-423.94318,-3.65,0,2.6334
7.4,0.1,0,0,0.37,0,6392.86257,0,204.6567,180,-423.67984,-3.65,0,2.6334
7.5,0.1,0,0,0.37,0,6391.695946,0,204.2917,180,-423.4165,-3.65,0,2.6334
7.6,0.1,0,0,0.37,0,6390.527792,0,203.9267,180,-423.15316,-3.65,0,2.6334
7.7,0.1,0,0,0.37,0,6389.435077,0,203.5617,180,-422.88982,-3.65,0,2.6334
7.8,0.1,0,0,0.37,0,6388.341631,0,203.1967,180,-422.62648,-3.65,0,2.6334
7.9,0.1,0,0,0.37,0,6387.20415,0,202.8317,180,-422.36314,-3.65,0,2.6334
8,0.1,0,0,0.37,0,6386.048647,0,202.4667,180,-422.0998,-3.65,0,2.6334
8.1,0.1,0,0,0.37,0,6384.885407,0,202.1017,180,-421.83646,-3.65,0,2.6334
8.2,0.1,0,0,0.37,0,6383.718763,0,201.7367,180,-421.57312,-3.65,0,2.6334
8.3,0.1,0,0,0.37,0,6382.550604,0,201.3717,180,-421.30978,-3.65,0,2.6334
8.4,0.1,0,0,0.37,0,6381.381766,0,201.0067,180,-421.04644,-3.65,0,2.6334
8.5,0.1,0,0,0.37,0,6380.212623,0,200.6417,180,-420.7831,-3.65,0,2.6334
8.6,0.1,0,0,0.37,0,6379.043343,0,200.2767,180,-420.51976,-3.65,0,2.6334
8.7,0.1,0,0,0.37,0,6377.874002,0,199.9117,180,-420.25642,-3.65,0,2.6334
8.8,0.1,0,0,0.37,0,6376.704634,0,199.5467,180,-419.99308,-3.65,0,2.6334
8.9,0.1,0,0,0.37,0,6375.535252,0,199.1817,180,-419.72974,-3.65,0,2.6334
9,0.1,0,0,0.37,0,6374.367073,0,198.8167,180,-419.4664,-3.65,0,2.6334
9.1,0.1,0,0,0.37,0,6373.212539,0,198.4517,180,-419.20306,-3.65,0,2.6334
9.2,0.1,0,0,0.37,0,6372.090034,0,198.0867,180,-418.93972,-3.65,0,2.6334
9.3,0.1,0,0,0.37,0,6371.014788,0,197.7217,180,-418.67638,-3.65,0,2.6334
9.4,0.1,0,0,0.37,0,6369.998655,0,197.3567,180,-418.41304,-3.65,0,2.6334
9.5,0.1,0,0,0.37,0,6369.026358,0,196.9917,180,-418.1497,-3.65,0,2.6334
