time,step-size,{inspector}.inspectorInstance.uav1goToNext,{inspector}.inspectorInstance.uav2goToNext,{inspector}.inspectorInstance.uav3goToNext,{inspector}.inspectorInstance.uav4goToNext,{uavCont}.controller1.onStation,{uavCont}.controller1.pitchOut,{uavCont}.controller1.rollOut,{uavCont}.controller1.throttleOut,{uavCont}.controller1.yawOut,{uavCont}.controller2.onStation,{uavCont}.controller2.pitchOut,{uavCont}.controller2.rollOut,{uavCont}.controller2.throttleOut,{uavCont}.controller2.yawOut,{uavCont}.controller3.onStation,{uavCont}.controller3.pitchOut,{uavCont}.controller3.rollOut,{uavCont}.controller3.throttleOut,{uavCont}.controller3.yawOut,{uavCont}.controller4.onStation,{uavCont}.controller4.pitchOut,{uavCont}.controller4.rollOut,{uavCont}.controller4.throttleOut,{uavCont}.controller4.yawOut,{uav}.uav1.batteryCharge,{uav}.uav1.currentPitch,{uav}.uav1.currentRoll,{uav}.uav1.currentYaw,{uav}.uav1.posX,{uav}.uav1.posY,{uav}.uav1.posZ,{uav}.uav1.velX,{uav}.uav1.velY,{uav}.uav1.velZ,{uav}.uav2.batteryCharge,{uav}.uav2.currentPitch,{uav}.uav2.currentRoll,{uav}.uav2.currentYaw,{uav}.uav2.posX,{uav}.uav2.posY,{uav}.uav2.posZ,{uav}.uav2.velX,{uav}.uav2.velY,{uav}.uav2.velZ,{uav}.uav3.batteryCharge,{uav}.uav3.currentPitch,{uav}.uav3.currentRoll,{uav}.uav3.currentYaw,{uav}.uav3.posX,{uav}.uav3.posY,{uav}.uav3.posZ,{uav}.uav3.velX,{uav}.uav3.velY,{uav}.uav3.velZ,{uav}.uav4.batteryCharge,{uav}.uav4.currentPitch,{uav}.uav4.currentRoll,{uav}.uav4.currentYaw,{uav}.uav4.posX,{uav}.uav4.posY,{uav}.uav4.posZ,{uav}.uav4.velX,{uav}.uav4.velY,{uav}.uav4.velZ
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6480,0,0,0,0,180,0,10,0,0,6480,0,0,0,0,180,0,-10,0,0,6480,0,0,0,0,180,0,0,0,10,6480,0,0,0,0,180,0,0,0,-10
0.1,0.1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6485,0,0,1,2,180,0,10,0,0,6485,0,0,1,-2,180,0,-10,0,0,6485,0,0,1,0,180,2,0,0,10,6485,0,0,1,0,180,-2,0,0,-10
0.3,0.2,1,1,1,1,0,0,-0.2,0.51,0,0,0,-0.2,0.51,0,0,0,-0.2,0.51,0,0,0,-0.2,0.51,0,6485,0,0,2,4,180,0,10,0,0,6485,0,0,2,-4,180,0,-10,0,0,6485,0,0,2,0,180,4,0,0,10,6485,0,0,2,0,180,-4,0,0,-10
0.5,0.2,1,1,1,1,0,0,-0.2,0.51,0,0,0,-0.2,0.51,0,0,0,-0.2,0.51,0,0,0,-0.2,0.51,0,6482.556802,0,0,3,6,180,0,10,0,0,6482.556802,0,0,3,-6,180,0,-10,0,0,6482.556802,0,0,3,0,180,6,0,0,10,6482.556802,0,0,3,0,180,-6,0,0,-10
0.7,0.2,1,1,1,1,0,0,0.2,0.51,0,0,0,0.2,0.51,0,0,0,0.2,0.51,0,0,0,0.2,0.51,0,6479.959778,0,0,4,8,180,0,10,0,0,6479.959778,0,0,4,-8,180,0,-10,0,0,6479.959778,0,0,4,0,180,8,0,0,10,6479.959778,0,0,4,0,180,-8,0,0,-10
0.9,0.2,1,1,1,1,0,0,0.2,0.51,0,0,0,0.2,0.51,0,0,0,0.2,0.51,0,0,0,0.2,0.51,0,6477.564264,0,0,5,10,180,0,10,0,0,6477.564264,0,0,5,-10,180,0,-10,0,0,6477.564264,0,0,5,0,180,10,0,0,10,6477.564264,0,0,5,0,180,-10,0,0,-10
1.1,0.2,1,1,1,1,0,0,0.2,0.51,0,0,0,0.2,0.51,0,0,0,0.2,0.51,0,0,0,0.2,0.51,0,6480.002674,0,0,6,12,180,0,10,0,0,6480.002674,0,0,6,-12,180,0,-10,0,0,6480.002674,0,0,6,0,180,12,0,0,10,6480.002674,0,0,6,0,180,-12,0,0,-10
1.3,0.2,1,1,1,1,0,0,0.2,0.51,0,0,0,0.2,0.51,0,0,0,0.2,0.51,0,0,0,0.2,0.51,0,6477.383936,0,0,7,14,180,0,10,0,0,6477.383936,0,0,7,-14,180,0,-10,0,0,6477.383936,0,0,7,0,180,14,0,0,10,6477.383936,0,0,7,0,180,-14,0,0,-10
1.5,0.2,1,1,1,1,0,0,0.2,0.51,0,0,0,0.2,0.51,0,0,0,0.2,0.51,0,0,0,0.2,0.51,0,6474.754014,0,0,8,16,180,0,10,0,0,6474.754014,0,0,8,-16,180,0,-10,0,0,6474.754014,0,0,8,0,180,16,0,0,10,6474.754014,0,0,8,0,180,-16,0,0,-10
1.7,0.2,1,1,1,1,0,0,-0.2,0.51,0,0,0,-0.2,0.51,0,0,0,-0.2,0.51,0,0,0,-0.2,0.51,0,6472.121844,0,0,9,18,180,0,10,0,0,6472.121844,0,0,9,-18,180,0,-10,0,0,6472.121844,0,0,9,0,180,18,0,0,10,6472.121844,0,0,9,0,180,-18,0,0,-10
