time,step-size,{inspector}.inspectorInstance.uav1goToNext,{inspector}.inspectorInstance.uav2goToNext,{inspector}.inspectorInstance.uav3goToNext,{inspector}.inspectorInstance.uav4goToNext,{uavCont}.controller1.onStation,{uavCont}.controller1.pitchOut,{uavCont}.controller1.rollOut,{uavCont}.controller1.throttleOut,{uavCont}.controller1.yawOut,{uavCont}.controller2.onStation,{uavCont}.controller2.pitchOut,{uavCont}.controller2.rollOut,{uavCont}.controller2.throttleOut,{uavCont}.controller2.yawOut,{uavCont}.controller3.onStation,{uavCont}.controller3.pitchOut,{uavCont}.controller3.rollOut,{uavCont}.controller3.throttleOut,{uavCont}.controller3.yawOut,{uavCont}.controller4.onStation,{uavCont}.controller4.pitchOut,{uavCont}.controller4.rollOut,{uavCont}.controller4.throttleOut,{uavCont}.controller4.yawOut,{uav}.uav1.batteryCharge,{uav}.uav1.currentPitch,{uav}.uav1.currentRoll,{uav}.uav1.currentYaw,{uav}.uav1.posX,{uav}.uav1.posY,{uav}.uav1.posZ,{uav}.uav1.velX,{uav}.uav1.velY,{uav}.uav1.velZ,{uav}.uav2.batteryCharge,{uav}.uav2.currentPitch,{uav}.uav2.currentRoll,{uav}.uav2.currentYaw,{uav}.uav2.posX,{uav}.uav2.posY,{uav}.uav2.posZ,{uav}.uav2.velX,{uav}.uav2.velY,{uav}.uav2.velZ,{uav}.uav3.batteryCharge,{uav}.uav3.currentPitch,{uav}.uav3.currentRoll,{uav}.uav3.currentYaw,{uav}.uav3.posX,{uav}.uav3.posY,{uav}.uav3.posZ,{uav}.uav3.velX,{uav}.uav3.velY,{uav}.uav3.velZ,{uav}.uav4.batteryCharge,{uav}.uav4.currentPitch,{uav}.uav4.currentRoll,{uav}.uav4.currentYaw,{uav}.uav4.posX,{uav}.uav4.posY,{uav}.uav4.posZ,{uav}.uav4.velX,{uav}.uav4.velY,{uav}.uav4.velZ
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6480,0,0,0,5,50,0,0,0,0,6480,0,0,0,-5,50,0,0,0,0,6480,0,0,0,0,50,5,0,0,0,6480,0,0,0,0,50,-5,0,0,0
0.1,0.1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6485,0,0,0,5.5,50,0,5,0,0,6485,0,0,0,-5.5,50,0,-5,0,0,6485,0,0,0,0,50,5.5,0,0,5,6485,0,0,0,0,50,-5.5,0,0,-5
0.3,0.2,1,1,1,1,0,0,-0.2,0.51,0,0,0,-0.2,0.51,0,0,0,-0.2,0.51,0,0,0,-0.2,0.51,0,6485,0,0,0,6.5,50,0,5,0,0,6485,0,0,0,-6.5,50,0,-5,0,0,6485,0,0,0,0,50,6.5,0,0,5,6485,0,0,0,0,50,-6.5,0,0,-5
0.5,0.2,1,1,1,1,0,0,-0.2,0.51,0,0,0,-0.2,0.51,0,0,0,-0.2,0.51,0,0,0,-0.2,0.51,0,6482.556802,0,0,0,7.5,50,0,5,0,0,6482.556802,0,0,0,-7.5,50,0,-5,0,0,6482.556802,0,0,0,0,50,7.5,0,0,5,6482.556802,0,0,0,0,50,-7.5,0,0,-5
0.7,0.2,1,1,1,1,0,0,0.2,0.51,0,0,0,0.2,0.51,0,0,0,0.2,0.51,0,0,0,0.2,0.51,0,6479.959778,0,0,0,8.5,50,0,5,0,0,6479.959778,0,0,0,-8.5,50,0,-5,0,0,6479.959778,0,0,0,0,50,8.5,0,0,5,6479.959778,0,0,0,0,50,-8.5,0,0,-5
0.9,0.2,1,1,1,1,0,0,0.2,0.51,0,0,0,0.2,0.51,0,0,0,0.2,0.51,0,0,0,0.2,0.51,0,6477.564264,0,0,0,9.5,50,0,5,0,0,6477.564264,0,0,0,-9.5,50,0,-5,0,0,6477.564264,0,0,0,0,50,9.5,0,0,5,6477.564264,0,0,0,0,50,-9.5,0,0,-5
1.1,0.2,1,1,1,1,0,0,0.2,0.51,0,0,0,0.2,0.51,0,0,0,0.2,0.51,0,0,0,0.2,0.51,0,6480.002674,0,0,0,10.5,50,0,5,0,0,6480.002674,0,0,0,-10.5,50,0,-5,0,0,6480.002674,0,0,0,0,50,10.5,0,0,5,6480.002674,0,0,0,0,50,-10.5,0,0,-5
1.3,0.2,1,1,1,1,0,0,0.2,0.51,0,0,0,0.2,0.51,0,0,0,0.2,0.51,0,0,0,0.2,0.51,0,6477.383936,0,0,0,11.5,50,0,5,0,0,6477.383936,0,0,0,-11.5,50,0,-5,0,0,6477.383936,0,0,0,0,50,11.5,0,0,5,6477.383936,0,0,0,0,50,-11.5,0,0,-5
1.5,0.2,1,1,1,1,0,0,0.2,0.51,0,0,0,0.2,0.51,0,0,0,0.2,0.51,0,0,0,0.2,0.51,0,6474.754014,0,0,0,12.5,50,0,5,0,0,6474.754014,0,0,0,-12.5,50,0,-5,0,0,6474.754014,0,0,0,0,50,12.5,0,0,5,6474.754014,0,0,0,0,50,-12.5,0,0,-5
1.7,0.2,1,1,1,1,0,0,-0.2,0.51,0,0,0,-0.2,0.51,0,0,0,-0.2,0.51,0,0,0,-0.2,0.51,0,6472.121844,0,0,0,13.5,50,0,5,0,0,6472.121844,0,0,0,-13.5,50,0,-5,0,0,6472.121844,0,0,0,0,50,13.5,0,0,5,6472.121844,0,0,0,0,50,-13.5,0,0,-5
1.9,0.2,1,1,1,1,0,0,-0.2,0.51,0,0,0,-0.2,0.51,0,0,0,-0.2,0.51,0,0,0,-0.2,0.51,0,6469.724641,0,0,0,14.5,50,0,5,0,0,6469.724641,0,0,0,-14.5,50,0,-5,0,0,6469.724641,0,0,0,0,50,14.5,0,0,5,6469.724641,0,0,0,0,50,-14.5,0,0,-5
2.1,0.2,1,1,1,1,0,0,-0.2,0.51,0,0,0,-0.2,0.51,0,0,0,-0.2,0.51,0,0,0,-0.2,0.51,0,6467.164563,0,0,0,15.5,50,0,5,0,0,6467.164563,0,0,0,-15.5,50,0,-5,0,0,6467.164563,0,0,0,0,50,15.5,0,0,5,6467.164563,0,0,0,0,50,-15.5,0,0,-5
2.3,0.2,1,1,1,1,0,0,-0.2,0.51,0,0,0,-0.2,0.51,0,0,0,-0.2,0.51,0,0,0,-0.2,0.51,0,6464.546114,0,0,0,16.5,50,0,5,0,0,6464.546114,0,0,0,-16.5,50,0,-5,0,0,6464.546114,0,0,0,0,50,16.5,0,0,5,6464.546114,0,0,0,0,50,-16.5,0,0,-5
2.5,0.2,1,1,1,1,0,0,-0.2,0.51,0,0,0,-0.2,0.51,0,0,0,-0.2,0.51,0,0,0,-0.2,0.51,0,6461.91625,0,0,0,17.5,50,0,5,0,0,6461.91625,0,0,0,-17.5,50,0,-5,0,0,6461.91625,0,0,0,0,50,17.5,0,0,5,6461.91625,0,0,0,0,50,-17.5,0,0,-5
