time,step-size,{uavCont}.controller.pitchOut,{uavCont}.controller.rollOut,{uavCont}.controller.throttleOut,{uavCont}.controller.yawOut,{uav}.uav.batteryCharge,{uav}.uav.currentYaw,{uav}.uav.posX,{uav}.uav.posY,{uav}.uav.posZ,{uav}.uav.velX,{uav}.uav.velY,{uav}.uav.velZ
0,0,0,0,0,0,0,0,5,15,1,2,0.5,2
0.1,0.1,0.25,0.5,0,0,0,0,5,15.05,1.5,2,0.5,2
0.2,0.1,1,1,0,0,0,0,5,15.1,2,2,0.5,2
0.3,0.1,1.5,1.5,0,0,0,0,5,15.15,2.5,2,0.5,2
0.4,0.1,2,2,0,0,0,0,5,15.2,3,2,0.5,2
0.5,0.1,2.5,2.5,0,0,0,0,5,15.25,3.5,2,0.5,2
0.6,0.1,3,3,0,0,0,0,5,15.3,4,2,0.5,2
0.7,0.1,3.5,3.5,0,0,0,0,5,15.35,4.5,2,0.5,2
0.8,0.1,4,4,0,0,0,0,5,15.4,5,2,0.5,2
0.9,0.1,4.5,4.5,0,0,0,0,5,15.45,5.5,2,0.5,2
1,0.1,5,5,0,0,0,0,5,15.5,6,2,0.5,2
1.1,0.1,5.5,5.5,0,0,0,0,5,15.55,6.5,2,0.5,2
1.2,0.1,6,6,0,0,0,0,5,15.6,7,2,0.5,2
1.3,0.1,6.5,6.5,0,0,0,0,5,15.65,7.5,2,0.5,2
1.4,0.1,7,7,0,0,0,0,5,15.7,8,2,0.5,2
1.5,0.1,7.5,7.5,0,0,0,0,5,15.75,8.5,2,0.5,2
1.6,0.1,8,8,0,0,0,0,5,15.8,9,2,0.5,2
1.7,0.1,8.5,8.5,0,0,0,0,5,15.85,9.5,2,0.5,2
1.8,0.1,9,9,0,0,0,0,5,15.9,10,2,0.5,2
1.9,0.1,9.5,9.5,0,0,0,0,5,15.95,10.5,2,0.5,2
2,0.1,10,10,0,0,0,0,5,16,11,2,0.5,2
2.1,0.1,10.5,9.5,0,0,0,0,5,16.05,11.5,2,0.5,2
2.2,0.1,11,9,0,0,0,0,5,16.1,12,2,0.5,2
2.3,0.1,11.5,8.5,0,0,0,0,5,16.15,12.5,2,0.5,2
2.4,0.1,12,8,0,0,0,0,5,16.2,13,2,0.5,2
2.5,0.1,12.5,7.5,0,0,0,0,5,16.25,13.5,2,0.5,2
2.6,0.1,13,7,0,0,0,0,5,16.3,14,2,0.5,2
2.7,0.1,13.5,6.5,0,0,0,0,5,16.35,14.5,2,0.5,2
2.8,0.1,14,6,0,0,0,0,5,16.4,15,2,0.5,2
2.9,0.1,14.5,5.5,0,0,0,0,5,16.45,15.5,2,0.5,2
3,0.1,15,5,0,0,0,0,5,16.5,16,2,0.5,2
3.1,0.1,15.5,4.5,0,0,0,0,5,16.55,16.5,2,0.5,2
3.2,0.1,16,4,0,0,0,0,5,16.6,17,2,0.5,2
3.3,0.1,16.5,3.5,0,0,0,0,5,16.65,17.5,2,0.5,2
3.4,0.1,17,3,0,0,0,0,5,16.7,18,2,0.5,2
3.5,0.1,17.5,2.5,0,0,0,0,5,16.75,18.5,2,0.5,2
3.6,0.1,18,2,0,0,0,0,5,16.8,19,2,0.5,2
3.7,0.1,18.5,1.5,0,0,0,0,5,16.85,19.5,2,0.5,2
3.8,0.1,19,1,0,0,0,0,5,16.9,20,2,0.5,2
3.9,0.1,19.5,0.5,0,0,0,0,5,16.95,20.5,2,0.5,2
4,0.1,20,0,0,0,0,0,5,17,21,2,0.5,2
4.1,0.1,20.5,-0.5,0,0,0,0,5,17.05,21.5,2,0.5,2
4.2,0.1,21,-1,0,0,0,0,5,17.1,22,2,0.5,2
4.3,0.1,21.5,-1.5,0,0,0,0,5,17.15,22.5,2,0.5,2
4.4,0.1,22,-2,0,0,0,0,5,17.2,23,2,0.5,2
4.5,0.1,22.5,-2.5,0,0,0,0,5,17.25,23.5,2,0.5,2
4.6,0.1,23,-3,0,0,0,0,5,17.3,24,2,0.5,2
4.7,0.1,23.5,-3.5,0,0,0,0,5,17.35,24.5,2,0.5,2
4.8,0.1,24,-4,0,0,0,0,5,17.4,25,2,0.5,2
4.9,0.1,24.5,-4.5,0,0,0,0,5,17.45,25.5,2,0.5,2
5,0.1,25,-5,0,0,0,0,5,17.5,26,2,0.5,2
5.1,0.1,25.5,-5.5,0,0,0,0,5,17.55,26.5,2,0.5,2
5.2,0.1,26,-6,0,0,0,0,5,17.6,27,2,0.5,2
5.3,0.1,26.5,-6.5,0,0,0,0,5,17.65,27.5,2,0.5,2
5.4,0.1,27,-7,0,0,0,0,5,17.7,28,2,0.5,2
5.5,0.1,27.5,-7.5,0,0,0,0,5,17.75,28.5,2,0.5,2
5.6,0.1,28,-8,0,0,0,0,5,17.8,29,2,0.5,2
5.7,0.1,28.5,-8.5,0,0,0,0,5,17.85,29.5,2,0.5,2
5.8,0.1,29,-9,0,0,0,0,5,17.9,30,2,0.5,2
5.9,0.1,29.5,-9.5,0,0,0,0,5,17.95,30.5,2,0.5,2
6,0.1,30,-10,0,0,0,0,5,18,31,2,0.5,2
