time,step-size,{uavCont}.controller.pitchOut,{uavCont}.controller.rollOut,{uavCont}.controller.throttleOut,{uavCont}.controller.yawOut,{uav}.uav.batteryCharge,{uav}.uav.currentYaw,{uav}.uav.posX,{uav}.uav.posY,{uav}.uav.posZ,{uav}.uav.velX,{uav}.uav.velY,{uav}.uav.velZ
0,0,0,0,0,0,6480,0,231.6667,200,-443.167,-3.65,0,2.6334
0.1,0.1,0,0,0.37,0,6480,0,231.3017,200,-442.90366,-3.65,0,2.6334
0.2,0.1,0,0,0.51,0,6479.230778,0,230.9367,200,-442.64032,-3.65,0,2.6334
0.3,0.1,0,0,0.51,0,6477.975723,0,230.5717,200,-442.37698,-3.65,0,2.6334
0.4,0.1,0,0,0.51,0,6476.797682,0,230.2067,200,-442.11364,-3.65,0,2.6334
0.5,0.1,0,0,0.51,0,6475.585244,0,229.8417,200,-441.8503,-3.65,0,2.6334
0.6,0.1,0,0,0.51,0,6474.313634,0,229.4767,200,-441.58696,-3.65,0,2.6334
0.7,0.1,0,0,0.51,0,6473.016985,0,229.1117,200,-441.32362,-3.65,0,2.6334
0.8,0.1,0,0,0.51,0,6471.825724,0,228.7467,200,-441.06028,-3.65,0,2.6334
0.9,0.1,0,0,0.51,0,6470.622516,0,228.3817,200,-440.79694,-3.65,0,2.6334
1,0.1,0,0,0.51,0,6469.354728,0,228.0167,200,-440.5336,-3.65,0,2.6334
1.1,0.1,0,0,0.51,0,6468.059728,0,227.6517,200,-440.27026,-3.65,0,2.6334
1.2,0.1,0,0,0.51,0,6466.752871,0,227.2867,200,-440.00692,-3.65,0,2.6334
1.3,0.1,0,0,0.51,0,6465.558012,0,226.9217,200,-439.74358,-3.65,0,2.6334
1.4,0.1,0,0,0.51,0,6464.357182,0,226.5567,200,-439.48024,-3.65,0,2.6334
1.5,0.1,0,0,0.51,0,6463.090374,0,226.1917,200,-439.2169,-3.65,0,2.6334
1.6,0.1,0,0,0.51,0,6461.795797,0,225.8267,200,-438.95356,-3.65,0,2.6334
1.7,0.1,0,0,0.51,0,6460.489126,0,225.4617,200,-438.69022,-3.65,0,2.6334
1.8,0.1,0,0,0.51,0,6459.294332,0,225.0967,200,-438.42688,-3.65,0,2.6334
1.9,0.1,0,0,0.51,0,6458.093459,0,224.7317,200,-438.16354,-3.65,0,2.6334
2,0.1,0,0,0.51,0,6456.826633,0,224.3667,200,-437.9002,-3.65,0,2.6334
2.1,0.1,0,0,0.51,0,6455.401768,0,224.0017,200,-437.63686,-3.65,0,2.6334
2.2,0.1,0,0,0.51,0,6454.094343,0,223.6367,200,-437.37352,-3.65,0,2.6334
2.3,0.1,0,0,0.51,0,6452.899283,0,223.2717,200,-437.11018,-3.65,0,2.6334
2.4,0.1,0,0,0.51,0,6451.698587,0,222.9067,200,-436.84684,-3.65,0,2.6334
2.5,0.1,0,0,0.51,0,6450.431834,0,222.5417,200,-436.5835,-3.65,0,2.6334
2.6,0.1,0,0,0.51,0,6449.13728,0,222.1767,200,-436.32016,-3.65,0,2.6334
2.7,0.1,0,0,0.51,0,6447.83062,0,221.8117,200,-436.05682,-3.65,0,2.6334
2.8,0.1,0,0,0.51,0,6446.518597,0,221.4467,200,-435.79348,-3.65,0,2.6334
2.9,0.1,0,0,0.51,0,6445.321842,0,221.0817,200,-435.53014,-3.65,0,2.6334
3,0.1,0,0,0.51,0,6444.122234,0,220.7167,200,-435.2668,-3.65,0,2.6334
3.1,0.1,0,0,0.51,0,6442.85593,0,220.3517,200,-435.00346,-3.65,0,2.6334
3.2,0.1,0,0,0.51,0,6441.561569,0,219.9867,200,-434.74012,-3.65,0,2.6334
3.3,0.1,0,0,0.51,0,6440.254994,0,219.6217,200,-434.47678,-3.65,0,2.6334
3.4,0.1,0,0,0.51,0,6438.943009,0,219.2567,200,-434.21344,-3.65,0,2.6334
3.5,0.1,0,0,0.51,0,6437.746271,0,218.8917,200,-433.9501,-3.65,0,2.6334
3.6,0.1,0,0,0.51,0,6436.546654,0,218.5267,200,-433.68676,-3.65,0,2.6334
3.7,0.1,0,0,0.51,0,6435.280346,0,218.1617,200,-433.42342,-3.65,0,2.6334
3.8,0.1,0,0,0.51,0,6433.985984,0,217.7967,200,-433.16008,-3.65,0,2.6334
