time,step-size,{uavCont}.controller.pitchOut,{uavCont}.controller.rollOut,{uavCont}.controller.throttleOut,{uavCont}.controller.yawOut,{uav}.uav.batteryCharge,{uav}.uav.currentYaw,{uav}.uav.posX,{uav}.uav.posY,{uav}.uav.posZ,{uav}.uav.velX,{uav}.uav.velY,{uav}.uav.velZ
0,0,0,0,0,0,0,0,5,15,1,5,0,0
0.1,0.1,0,0,0,0,0,0,5.5,15,1,5,0,0
0.2,0.1,0,0,0,0,0,0,6,15,1,5,0,0
0.3,0.1,0,0,0,0,0,0,6.5,15,1,5,0,0
0.4,0.1,0,0,0,0,0,0,7,15,1,5,0,0
0.5,0.1,0,0,0,0,0,0,7.5,15,1,5,0,0
0.6,0.1,0,0,0,0,0,0,8,15,1,5,0,0
0.7,0.1,0,0,0,0,0,0,8.5,15,1,5,0,0
0.8,0.1,0,0,0,0,0,0,9,15,1,5,0,0
0.9,0.1,0,0,0,0,0,0,9.5,15,1,5,0,0
1,0.1,0,0,0,0,0,0,10,15,1,5,0,0
1.1,0.1,0,0,0,0,0,0,10.5,15,1,5,0,0
1.2,0.1,0,0,0,0,0,0,11,15,1,5,0,0
1.3,0.1,0,0,0,0,0,0,11.5,15,1,5,0,0
1.4,0.1,0,0,0,0,0,0,12,15,1,5,0,0
1.5,0.1,0,0,0,0,0,0,12.5,15,1,5,0,0
1.6,0.1,0,0,0,0,0,0,13,15,1,5,0,0
1.7,0.1,0,0,0,0,0,0,13.5,15,1,5,0,0
1.8,0.1,0,0,0,0,0,0,14,15,1,5,0,0
1.9,0.1,0,0,0,0,0,0,14.5,15,1,5,0,0
2,0.1,0,0,0,0,0,0,15,15,1,5,0,0
2.1,0.1,0,0,0,0,0,0,15.5,15,1,5,0,0
2.2,0.1,0,0,0,0,0,0,16,15,1,5,0,0
2.3,0.1,0,0,0,0,0,0,16.5,15,1,5,0,0
2.4,0.1,0,0,0,0,0,0,17,15,1,5,0,0
2.5,0.1,0,0,0,0,0,0,17.5,15,1,5,0,0
2.6,0.1,0,0,0,0,0,0,18,15,1,5,0,0
2.7,0.1,0,0,0,0,0,0,18.5,15,1,5,0,0
2.8,0.1,0,0,0,0,0,0,19,15,1,5,0,0
2.9,0.1,0,0,0,0,0,0,19.5,15,1,5,0,0
3,0.1,0,0,0,0,0,0,20,15,1,5,0,0
3.1,0.1,0,0,0,0,0,0,20.5,15,1,5,0,0
3.2,0.1,0,0,0,0,0,0,21,15,1,5,0,0
3.3,0.1,0,0,0,0,0,0,21.5,15,1,5,0,0
3.4,0.1,0,0,0,0,0,0,22,15,1,5,0,0
3.5,0.1,0,0,0,0,0,0,22.5,15,1,5,0,0
3.6,0.1,0,0,0,0,0,0,23,15,1,5,0,0
3.7,0.1,0,0,0,0,0,0,23.5,15,1,5,0,0
3.8,0.1,0,0,0,0,0,0,24,15,1,5,0,0
3.9,0.1,0,0,0,0,0,0,24.5,15,1,5,0,0
4,0.1,0,0,0,0,0,0,25,15,1,5,0,0
4.1,0.1,0,0,0,0,0,0,25.5,15,1,5,0,0
4.2,0.1,0,0,0,0,0,0,26,15,1,5,0,0
4.3,0.1,0,0,0,0,0,0,26.5,15,1,5,0,0
4.4,0.1,0,0,0,0,0,0,27,15,1,5,0,0
4.5,0.1,0,0,0,0,0,0,27.5,15,1,5,0,0
4.6,0.1,0,0,0,0,0,0,28,15,1,5,0,0
4.7,0.1,0,0,0,0,0,0,28.5,15,1,5,0,0
4.8,0.1,0,0,0,0,0,0,29,15,1,5,0,0
4.9,0.1,0,0,0,0,0,0,29.5,15,1,5,0,0
5,0.1,0,0,0,0,0,0,30,15,1,5,0,0
