time,step-size,{uavCont}.controller.pitchOut,{uavCont}.controller.rollOut,{uavCont}.controller.throttleOut,{uavCont}.controller.yawOut,{uav}.uav.batteryCharge,{uav}.uav.currentYaw,{uav}.uav.posX,{uav}.uav.posY,{uav}.uav.posZ,{uav}.uav.velX,{uav}.uav.velY,{uav}.uav.velZ
0,0,0,0,0,0,0,0,5,15,1,8,0,0
0.1,0.1,0,0,0,0,0,0,5.8,15,1,8,0,0
0.2,0.1,0,0,0,0,0,0,6.6,15,1,8,0,0
0.3,0.1,0,0,0,0,0,0,7.4,15,1,8,0,0
0.4,0.1,0,0,0,0,0,0,8.2,15,1,8,0,0
0.5,0.1,0,0,0,0,0,0,9,15,1,8,0,0
0.6,0.1,0,0,0,0,0,0,9.8,15,1,8,0,0
0.7,0.1,0,0,0,0,0,0,10.6,15,1,8,0,0
0.8,0.1,0,0,0,0,0,0,11.4,15,1,8,0,0
0.9,0.1,0,0,0,0,0,0,12.2,15,1,8,0,0
1,0.1,0,0,0,0,0,0,13,15,1,8,0,0
1.1,0.1,0,0,0,0,0,0,13.8,15,1,8,0,0
1.2,0.1,0,0,0,0,0,0,14.6,15,1,8,0,0
1.3,0.1,0,0,0,0,0,0,15.4,15,1,8,0,0
1.4,0.1,0,0,0,0,0,0,16.2,15,1,8,0,0
1.5,0.1,0,0,0,0,0,0,17,15,1,8,0,0
1.6,0.1,0,0,0,0,0,0,17.8,15,1,8,0,0
1.7,0.1,0,0,0,0,0,0,18.6,15,1,8,0,0
1.8,0.1,0,0,0,0,0,0,19.4,15,1,8,0,0
1.9,0.1,0,0,0,0,0,0,20.2,15,1,8,0,0
2,0.1,0,0,0,0,0,0,21,15,1,8,0,0
2.1,0.1,0,0,0,0,0,0,21.8,15,1,8,0,0
2.2,0.1,0,0,0,0,0,0,22.6,15,1,8,0,0
2.3,0.1,0,0,0,0,0,0,23.4,15,1,8,0,0
2.4,0.1,0,0,0,0,0,0,24.2,15,1,8,0,0
2.5,0.1,0,0,0,0,0,0,25,15,1,8,0,0
2.6,0.1,0,0,0,0,0,0,25.8,15,1,8,0,0
2.7,0.1,0,0,0,0,0,0,26.6,15,1,8,0,0
2.8,0.1,0,0,0,0,0,0,27.4,15,1,8,0,0
2.9,0.1,0,0,0,0,0,0,28.2,15,1,8,0,0
3,0.1,0,0,0,0,0,0,29,15,1,8,0,0
3.1,0.1,0,0,0,0,0,0,29.8,15,1,8,0,0
3.2,0.1,0,0,0,0,0,0,30.6,15,1,8,0,0
3.3,0.1,0,0,0,0,0,0,31.4,15,1,8,0,0
3.4,0.1,0,0,0,0,0,0,32.2,15,1,8,0,0
3.5,0.1,0,0,0,0,0,0,33,15,1,8,0,0
3.6,0.1,0,0,0,0,0,0,33.8,15,1,8,0,0
3.7,0.1,0,0,0,0,0,0,34.6,15,1,8,0,0
3.8,0.1,0,0,0,0,0,0,35.4,15,1,8,0,0
3.9,0.1,0,0,0,0,0,0,36.2,15,1,8,0,0
4,0.1,0,0,0,0,0,0,37,15,1,8,0,0
4.1,0.1,0,0,0,0,0,0,37.8,15,1,8,0,0
4.2,0.1,0,0,0,0,0,0,38.6,15,1,8,0,0
4.3,0.1,0,0,0,0,0,0,39.4,15,1,8,0,0
4.4,0.1,0,0,0,0,0,0,40.2,15,1,8,0,0
4.5,0.1,0,0,0,0,0,0,41,15,1,8,0,0
4.6,0.1,0,0,0,0,0,0,41.8,15,1,8,0,0
4.7,0.1,0,0,0,0,0,0,42.6,15,1,8,0,0
4.8,0.1,0,0,0,0,0,0,43.4,15,1,8,0,0
4.9,0.1,0,0,0,0,0,0,44.2,15,1,8,0,0
5,0.1,0,0,0,0,0,0,45,15,1,8,0,0
