time,step-size,{uavCont}.controller.pitchOut,{uavCont}.controller.rollOut,{uavCont}.controller.throttleOut,{uavCont}.controller.yawOut,{uav}.uav.batteryCharge,{uav}.uav.currentYaw,{uav}.uav.posX,{uav}.uav.posY,{uav}.uav.posZ,{uav}.uav.velX,{uav}.uav.velY,{uav}.uav.velZ
0,0,0,0,0,0,0,0,5,15,1,0,0,0
0.1,0.1,0,1.5,0,0,0,0,5,15,1,0,0,0
0.2,0.1,0,3,0,0,0,0,5,15,1,0,0,0
0.3,0.1,0,4.5,0,0,0,0,5,15,1,0,0,0
0.4,0.1,0,6,0,0,0,0,5,15,1,0,0,0
0.5,0.1,0,7.5,0,0,0,0,5,15,1,0,0,0
0.6,0.1,0,9,0,0,0,0,5,15,1,0,0,0
0.7,0.1,0,10.5,0,0,0,0,5,15,1,0,0,0
0.8,0.1,0,12,0,0,0,0,5,15,1,0,0,0
0.9,0.1,0,13.5,0,0,0,0,5,15,1,0,0,0
1,0.1,0,15,0,0,0,0,5,15,1,0,0,0
1.1,0.1,0,16.5,0,0,0,0,5,15,1,0,0,0
1.2,0.1,0,18,0,0,0,0,5,15,1,0,0,0
1.3,0.1,0,19.5,0,0,0,0,5,15,1,0,0,0
1.4,0.1,0,21,0,0,0,0,5,15,1,0,0,0
1.5,0.1,0,22.5,0,0,0,0,5,15,1,0,0,0
1.6,0.1,0,24,0,0,0,0,5,15,1,0,0,0
1.7,0.1,0,25.5,0,0,0,0,5,15,1,0,0,0
1.8,0.1,0,27,0,0,0,0,5,15,1,0,0,0
1.9,0.1,0,28.5,0,0,0,0,5,15,1,0,0,0
2,0.1,0,30,0,0,0,0,5,15,1,0,0,0
2.1,0.1,0,31.5,0,0,0,0,5,15,1,0,0,0
2.2,0.1,0,33,0,0,0,0,5,15,1,0,0,0
2.3,0.1,0,34.5,0,0,0,0,5,15,1,0,0,0
2.4,0.1,0,36,0,0,0,0,5,15,1,0,0,0
2.5,0.1,0,37.5,0,0,0,0,5,15,1,0,0,0
2.6,0.1,0,39,0,0,0,0,5,15,1,0,0,0
2.7,0.1,0,40.5,0,0,0,0,5,15,1,0,0,0
2.8,0.1,0,42,0,0,0,0,5,15,1,0,0,0
2.9,0.1,0,43.5,0,0,0,0,5,15,1,0,0,0
3,0.1,0,45,0,0,0,0,5,15,1,0,0,0
3.1,0.1,0,46.5,0,0,0,0,5,15,1,0,0,0
3.2,0.1,0,48,0,0,0,0,5,15,1,0,0,0
3.3,0.1,0,49.5,0,0,0,0,5,15,1,0,0,0
3.4,0.1,0,51,0,0,0,0,5,15,1,0,0,0
3.5,0.1,0,52.5,0,0,0,0,5,15,1,0,0,0
3.6,0.1,0,54,0,0,0,0,5,15,1,0,0,0
3.7,0.1,0,55.5,0,0,0,0,5,15,1,0,0,0
3.8,0.1,0,57,0,0,0,0,5,15,1,0,0,0
3.9,0.1,0,58.5,0,0,0,0,5,15,1,0,0,0
4,0.1,0,60,0,0,0,0,5,15,1,0,0,0
4.1,0.1,0,61.5,0,0,0,0,5,15,1,0,0,0
4.2,0.1,0,63,0,0,0,0,5,15,1,0,0,0
4.3,0.1,0,64.5,0,0,0,0,5,15,1,0,0,0
4.4,0.1,0,66,0,0,0,0,5,15,1,0,0,0
4.5,0.1,0,67.5,0,0,0,0,5,15,1,0,0,0
4.6,0.1,0,69,0,0,0,0,5,15,1,0,0,0
4.7,0.1,0,70.5,0,0,0,0,5,15,1,0,0,0
4.8,0.1,0,72,0,0,0,0,5,15,1,0,0,0
4.9,0.1,0,73.5,0,0,0,0,5,15,1,0,0,0
5,0.1,0,75,0,0,0,0,5,15,1,0,0,0
