time,step-size,{uavCont}.controller.pitchOut,{uavCont}.controller.rollOut,{uavCont}.controller.throttleOut,{uavCont}.controller.yawOut,{uav}.uav.batteryCharge,{uav}.uav.currentYaw,{uav}.uav.posX,{uav}.uav.posY,{uav}.uav.posZ,{uav}.uav.velX,{uav}.uav.velY,{uav}.uav.velZ
0,0,0,0.2,0,0,0,0,5,15,1,2,0,0
0.1,0.1,0,0.2,0,0,0,0,5.2,15,1,2,0,0
0.2,0.1,0,0.2,0,0,0,0,5.4,15,1,2,0,0
0.3,0.1,0,0.2,0,0,0,0,5.6,15,1,2,0,0
0.4,0.1,0,0.2,0,0,0,0,5.8,15,1,2,0,0
0.5,0.1,0,0.2,0,0,0,0,6,15,1,2,0,0
0.6,0.1,0,0.2,0,0,0,0,6.2,15,1,2,0,0
0.7,0.1,0,0.2,0,0,0,0,6.4,15,1,2,0,0
0.8,0.1,0,0.2,0,0,0,0,6.6,15,1,2,0,0
0.9,0.1,0,0.2,0,0,0,0,6.8,15,1,2,0,0
1,0.1,0,0.2,0,0,0,0,7,15,1,2,0,0
1.1,0.1,0,0.2,0,0,0,0,7.2,15,1,2,0,0
1.2,0.1,0,0.2,0,0,0,0,7.4,15,1,2,0,0
1.3,0.1,0,0.2,0,0,0,0,7.6,15,1,2,0,0
1.4,0.1,0,0.2,0,0,0,0,7.8,15,1,2,0,0
1.5,0.1,0,0.2,0,0,0,0,8,15,1,2,0,0
1.6,0.1,0,0.2,0,0,0,0,8.2,15,1,2,0,0
1.7,0.1,0,0.2,0,0,0,0,8.4,15,1,2,0,0
1.8,0.1,0,0.2,0,0,0,0,8.6,15,1,2,0,0
1.9,0.1,0,0.2,0,0,0,0,8.8,15,1,2,0,0
2,0.1,0,0.2,0,0,0,0,9,15,1,2,0,0
2.1,0.1,0,0.2,0,0,0,0,9.2,15,1,2,0,0
2.2,0.1,0,0.2,0,0,0,0,9.4,15,1,2,0,0
2.3,0.1,0,0.2,0,0,0,0,9.6,15,1,2,0,0
2.4,0.1,0,0.2,0,0,0,0,9.8,15,1,2,0,0
2.5,0.1,0,0.2,0,0,0,0,10,15,1,2,0,0
2.6,0.1,0,0.2,0,0,0,0,10.2,15,1,2,0,0
2.7,0.1,0,0.2,0,0,0,0,10.4,15,1,2,0,0
2.8,0.1,0,0.2,0,0,0,0,10.6,15,1,2,0,0
2.9,0.1,0,0.2,0,0,0,0,10.8,15,1,2,0,0
3,0.1,0,0.2,0,0,0,0,11,15,1,2,0,0
3.1,0.1,0,0.2,0,0,0,0,11.2,15,1,2,0,0
3.2,0.1,0,0.2,0,0,0,0,11.4,15,1,2,0,0
3.3,0.1,0,0.2,0,0,0,0,11.6,15,1,2,0,0
3.4,0.1,0,0.2,0,0,0,0,11.8,15,1,2,0,0
3.5,0.1,0,0.2,0,0,0,0,12,15,1,2,0,0
3.6,0.1,0,0.2,0,0,0,0,12.2,15,1,2,0,0
3.7,0.1,0,0.2,0,0,0,0,12.4,15,1,2,0,0
3.8,0.1,0,0.2,0,0,0,0,12.6,15,1,2,0,0
3.9,0.1,0,0.2,0,0,0,0,12.8,15,1,2,0,0
4,0.1,0,0.2,0,0,0,0,13,15,1,2,0,0
4.1,0.1,0,0.2,0,0,0,0,13.2,15,1,2,0,0
4.2,0.1,0,0.2,0,0,0,0,13.4,15,1,2,0,0
4.3,0.1,0,0.2,0,0,0,0,13.6,15,1,2,0,0
4.4,0.1,0,0.2,0,0,0,0,13.8,15,1,2,0,0
4.5,0.1,0,0.2,0,0,0,0,14,15,1,2,0,0
4.6,0.1,0,0.2,0,0,0,0,14.2,15,1,2,0,0
4.7,0.1,0,0.2,0,0,0,0,14.4,15,1,2,0,0
4.8,0.1,0,0.2,0,0,0,0,14.6,15,1,2,0,0
4.9,0.1,0,0.2,0,0,0,0,14.8,15,1,2,0,0
5,0.1,0,0.2,0,0,0,0,15,15,1,2,0,0
