time,step-size,{uavCont}.controller.pitchOut,{uavCont}.controller.rollOut,{uavCont}.controller.throttleOut,{uavCont}.controller.yawOut,{uav}.uav.batteryCharge,{uav}.uav.currentYaw,{uav}.uav.posX,{uav}.uav.posY,{uav}.uav.posZ,{uav}.uav.velX,{uav}.uav.velY,{uav}.uav.velZ
0,0,0,0,0,0,0,0,5,15,1,0,0,0
0.1,0.1,0,0,0,2.5,0,0,5,15,1,0,0,0
0.2,0.1,0,0,0,5,0,0,5,15,1,0,0,0
0.3,0.1,0,0,0,7.5,0,0,5,15,1,0,0,0
0.4,0.1,0,0,0,10,0,0,5,15,1,0,0,0
0.5,0.1,0,0,0,12.5,0,0,5,15,1,0,0,0
0.6,0.1,0,0,0,15,0,0,5,15,1,0,0,0
0.7,0.1,0,0,0,17.5,0,0,5,15,1,0,0,0
0.8,0.1,0,0,0,20,0,0,5,15,1,0,0,0
0.9,0.1,0,0,0,22.5,0,0,5,15,1,0,0,0
1,0.1,0,0,0,25,0,0,5,15,1,0,0,0
1.1,0.1,0,0,0,27.5,0,0,5,15,1,0,0,0
1.2,0.1,0,0,0,30,0,0,5,15,1,0,0,0
1.3,0.1,0,0,0,32.5,0,0,5,15,1,0,0,0
1.4,0.1,0,0,0,35,0,0,5,15,1,0,0,0
1.5,0.1,0,0,0,37.5,0,0,5,15,1,0,0,0
1.6,0.1,0,0,0,40,0,0,5,15,1,0,0,0
1.7,0.1,0,0,0,42.5,0,0,5,15,1,0,0,0
1.8,0.1,0,0,0,45,0,0,5,15,1,0,0,0
1.9,0.1,0,0,0,47.5,0,0,5,15,1,0,0,0
2,0.1,0,0,0,50,0,0,5,15,1,0,0,0
2.1,0.1,0,0,0,52.5,0,0,5,15,1,0,0,0
2.2,0.1,0,0,0,55,0,0,5,15,1,0,0,0
2.3,0.1,0,0,0,57.5,0,0,5,15,1,0,0,0
2.4,0.1,0,0,0,60,0,0,5,15,1,0,0,0
2.5,0.1,0,0,0,62.5,0,0,5,15,1,0,0,0
2.6,0.1,0,0,0,65,0,0,5,15,1,0,0,0
2.7,0.1,0,0,0,67.5,0,0,5,15,1,0,0,0
2.8,0.1,0,0,0,70,0,0,5,15,1,0,0,0
2.9,0.1,0,0,0,72.5,0,0,5,15,1,0,0,0
3,0.1,0,0,0,75,0,0,5,15,1,0,0,0
3.1,0.1,0,0,0,77.5,0,0,5,15,1,0,0,0
3.2,0.1,0,0,0,80,0,0,5,15,1,0,0,0
3.3,0.1,0,0,0,82.5,0,0,5,15,1,0,0,0
3.4,0.1,0,0,0,85,0,0,5,15,1,0,0,0
3.5,0.1,0,0,0,87.5,0,0,5,15,1,0,0,0
3.6,0.1,0,0,0,90,0,0,5,15,1,0,0,0
3.7,0.1,0,0,0,92.5,0,0,5,15,1,0,0,0
3.8,0.1,0,0,0,95,0,0,5,15,1,0,0,0
3.9,0.1,0,0,0,97.5,0,0,5,15,1,0,0,0
4,0.1,0,0,0,100,0,0,5,15,1,0,0,0
4.1,0.1,0,0,0,102.5,0,0,5,15,1,0,0,0
4.2,0.1,0,0,0,105,0,0,5,15,1,0,0,0
4.3,0.1,0,0,0,107.5,0,0,5,15,1,0,0,0
4.4,0.1,0,0,0,110,0,0,5,15,1,0,0,0
4.5,0.1,0,0,0,112.5,0,0,5,15,1,0,0,0
4.6,0.1,0,0,0,115,0,0,5,15,1,0,0,0
4.7,0.1,0,0,0,117.5,0,0,5,15,1,0,0,0
4.8,0.1,0,0,0,120,0,0,5,15,1,0,0,0
4.9,0.1,0,0,0,122.5,0,0,5,15,1,0,0,0
5,0.1,0,0,0,125,0,0,5,15,1,0,0,0
5.1,0.1,0,0,0,127.5,0,0,5,15,1,0,0,0
5.2,0.1,0,0,0,130,0,0,5,15,1,0,0,0
5.3,0.1,0,0,0,132.5,0,0,5,15,1,0,0,0
5.4,0.1,0,0,0,135,0,0,5,15,1,0,0,0
5.5,0.1,0,0,0,137.5,0,0,5,15,1,0,0,0
5.6,0.1,0,0,0,140,0,0,5,15,1,0,0,0
5.7,0.1,0,0,0,142.5,0,0,5,15,1,0,0,0
5.8,0.1,0,0,0,145,0,0,5,15,1,0,0,0
5.9,0.1,0,0,0,147.5,0,0,5,15,1,0,0,0
6,0.1,0,0,0,150,0,0,5,15,1,0,0,0
